-20.422,-17.749
-20.225,-17.663
-19.607,-16.51
-19.494,-17.208
-19.435,-18.193
-19.366,-16.519
-19.329,-17.567
-19.271,-17.182
-19.188,-18.189
-19.181,-17.413
-19.135,-17.213
-19.078,-15.803
-19.025,-15.932
-18.953,-18.514
-18.932,-15.891
-18.893,-18.82
-18.83,-17.703
-18.762,-17.862
-18.759,-17.837
-18.733,-16.862
-18.65,-16.934
-18.624,-17.684
-18.606,-17.688
-18.603,-16.427
-18.584,-17.868
-18.581,-16.284
-18.552,-16.797
-18.535,-18.181
-18.514,-17.467
-18.513,-17.379
-18.513,-18.405
-18.509,-17.404
-18.484,-17.687
-18.414,-16.075
-18.373,-17.225
-18.366,-18.088
-18.353,-16.903
-18.346,-17.446
-18.34,-18.467
-18.336,-17.978
-18.328,-16.086
-18.328,-17.155
-18.312,-16.663
-18.309,-16.654
-18.293,-17.12
-18.285,-17.25
-18.285,-16.657
-18.254,-18.104
-18.253,-17.357
-18.248,-17.313
-18.246,-17.203
-18.242,-17.111
-18.227,-16.065
-18.226,-16.564
-18.212,-16.643
-18.2,-16.89
-18.182,-18.263
-18.173,-15.889
-18.154,-17.099
-18.139,-17.37
-18.113,-16.246
-18.091,-17.146
-18.09,-17.661
-18.084,-17.562
-18.055,-16.94
-18.049,-15.408
-18.046,-16.999
-18.034,-17.155
-18.03,-16.671
-18.028,-17.159
-18.019,-16.837
-18.015,-16.407
-18.008,-15.84
-17.997,-17.001
-17.992,-17.232
-17.991,-17.246
-17.974,-18.627
-17.97,-18.183
-17.968,-16.244
-17.952,-18.434
-17.941,-17.36
-17.938,-16.633
-17.921,-17.412
-17.908,-17.677
-17.908,-17.255
-17.891,-17.35
-17.884,-17.078
-17.861,-17.488
-17.842,-16.488
-17.838,-17.564
-17.833,-16.59
-17.83,-18.21
-17.829,-16.759
-17.825,-16.718
-17.821,-15.197
-17.815,-18.828
-17.813,-16.772
-17.81,-16.056
-17.807,-18.783
-17.802,-16.044
-17.802,-16.423
-17.797,-15.541
-17.796,-15.88
-17.781,-14.932
-17.78,-16.721
-17.773,-16.647
-17.763,-16.769
-17.76,-16.847
-17.748,-16.081
-17.745,-16.278
-17.741,-18.215
